Region,Sales,Revenue,Month,Year,Advertising_Expenditure,Product_Category,Marketing_Campaign
North,1435,1397,August,2023,6371.585640252003,Category_1,Before
North,747,4209,August,2022,4008.1950173526475,Category_1,Before
West,655,1674,November,2022,7938.209833712397,Category_1,Before
North,1570,4992,September,2022,1959.3842782039462,Category_3,After
East,953,1386,August,2022,1676.2400356222788,Category_2,After
West,700,3158,November,2022,7553.6988058324305,Category_1,After
South,623,3661,February,2022,5459.421845855786,Category_1,After
South,500,3064,December,2023,7195.621567849625,Category_1,Before
East,1467,4851,October,2022,4913.446047433716,Category_1,Before
East,1354,4253,December,2022,3217.6182991519613,Category_2,Before
West,1139,1883,November,2022,8371.920859067797,Category_3,After
South,690,4607,January,2022,8194.742910720814,Category_2,Before
South,1015,1540,October,2023,7252.268237689841,Category_1,After
South,941,1170,February,2023,3449.306235069664,Category_2,After
South,642,3456,February,2022,6312.076001821784,Category_1,After
South,1714,1739,December,2023,4248.765072460241,Category_3,After
North,1032,2401,March,2023,1824.2386599397073,Category_3,After
East,726,4259,October,2023,9255.822179160185,Category_3,Before
North,1836,3905,July,2023,2231.3676782706525,Category_1,After
South,1448,3277,February,2023,9552.136184387222,Category_2,After
West,1825,4904,January,2023,5014.051956621602,Category_3,Before
